2019/06/25 15:02:47 [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2019/06/25 15:02:54 发送消息:{'sub': 'market.btcusdt.kline.1min', 'id': 'BTC'}
2019/06/25 15:02:55 收到订阅状态消息：{'id': 'BTC', 'status': 'ok', 'subbed': 'market.btcusdt.kline.1min', 'ts': 1561446175191}
2019/06/25 15:03:07 ts:1561446187399 id:1561446180 amount:4.866308316418632 open:11336.01 close:11340.0 low:11336.0 high:11340.0 count:57 vol:55171.816030495975
2019/06/25 15:03:07 ts:1561446187406 id:1561446180 amount:4.903408316418632 open:11336.01 close:11340.0 low:11336.0 high:11340.0 count:58 vol:55592.530030495975
2019/06/25 15:03:07 ts:1561446187420 id:1561446180 amount:6.963647391507171 open:11336.01 close:11340.0 low:11336.0 high:11340.0 count:60 vol:78955.641142
2019/06/25 15:03:07 ts:1561446187422 id:1561446180 amount:7.1397473915071705 open:11336.01 close:11340.71 low:11336.0 high:11340.71 count:61 vol:80952.740173
2019/06/25 15:03:07 ts:1561446187510 id:1561446180 amount:7.151547391507171 open:11336.01 close:11337.49 low:11336.0 high:11340.71 count:62 vol:81086.522555
2019/06/25 15:03:07 ts:1561446187571 id:1561446180 amount:7.15164739150717 open:11336.01 close:11338.36 low:11336.0 high:11340.71 count:63 vol:81087.656391
2019/06/25 15:03:07 ts:1561446187701 id:1561446180 amount:7.1519473915071705 open:11336.01 close:11337.49 low:11336.0 high:11340.71 count:64 vol:81091.057638
2019/06/25 15:03:08 ts:1561446187936 id:1561446180 amount:7.152035560700326 open:11336.01 close:11341.83 low:11336.0 high:11341.83 count:65 vol:81092.057638
2019/06/25 15:03:08 ts:1561446187968 id:1561446180 amount:7.152235560700325 open:11336.01 close:11337.49 low:11336.0 high:11341.83 count:66 vol:81094.325136
2019/06/25 15:03:08 ts:1561446188361 id:1561446180 amount:7.152323729893481 open:11336.01 close:11341.83 low:11336.0 high:11341.83 count:67 vol:81095.325136
